"entity-id","slug","name","repository","resolved-repository","stored-license","detected-license","decision","evidence-kind","evidence-path","evidence-url","restricted-signals","reasons"
"res_autogen","autogen","AutoGen","microsoft/autogen","microsoft/autogen","CC-BY-4.0","MIT","manual_review","code-specific-license-file","LICENSE-CODE","https://github.com/microsoft/autogen/blob/main/LICENSE-CODE","","stored-license-mismatch"
"res_webwright","webwright","Webwright","microsoft/Webwright","microsoft/Webwright","MIT","MIT","verified_open_code","github-license-api","LICENSE","https://github.com/microsoft/Webwright/blob/main/LICENSE","",""
"res_skillhub","skillhub","SkillHub","iflytek/skillhub","iflytek/skillhub","Apache-2.0","Apache-2.0","verified_open_code","github-license-api","LICENSE","https://github.com/iflytek/skillhub/blob/main/LICENSE","",""
"res_wegent","wegent","Wegent","wecode-ai/Wegent","wecode-ai/Wegent","Apache-2.0","Apache-2.0","verified_open_code","github-license-api","LICENSE","https://github.com/wecode-ai/Wegent/blob/main/LICENSE","",""
"res_lelab","lelab","LeLab","huggingface/leLab","huggingface/leLab","Apache-2.0","Apache-2.0","verified_open_code","github-license-api","LICENSE","https://github.com/huggingface/leLab/blob/main/LICENSE","",""
"res_famclaw","famclaw","FamClaw","famclaw/famclaw","famclaw/famclaw","AGPL-3.0","AGPL-3.0","verified_open_code","github-license-api","LICENSE","https://github.com/famclaw/famclaw/blob/main/LICENSE","",""
"res_agentql_mcp","agentql-mcp","AgentQL MCP","tinyfish-io/agentql-mcp","tinyfish-io/agentql-mcp","MIT","MIT","verified_open_code","github-license-api","LICENSE","https://github.com/tinyfish-io/agentql-mcp/blob/main/LICENSE","",""
"res_promptfoo","promptfoo","promptfoo","promptfoo/promptfoo","promptfoo/promptfoo","MIT","MIT","verified_open_code","github-license-api","LICENSE","https://github.com/promptfoo/promptfoo/blob/main/LICENSE","",""
"res_musebot","musebot","MuseBot","yincongcyincong/MuseBot","yincongcyincong/MuseBot","MIT","MIT","verified_open_code","github-license-api","LICENSE","https://github.com/yincongcyincong/MuseBot/blob/main/LICENSE","",""
"res_metagpt","metagpt","MetaGPT","geekan/MetaGPT","FoundationAgents/MetaGPT","MIT","MIT","manual_review","github-license-api","LICENSE","https://github.com/FoundationAgents/MetaGPT/blob/main/LICENSE","","repository-redirect"
"res_nanobot","nanobot","nanobot","HKUDS/nanobot","HKUDS/nanobot","MIT","MIT","verified_open_code","github-license-api","LICENSE","https://github.com/HKUDS/nanobot/blob/main/LICENSE","",""
"res_marketing_skills","marketing-skills","Marketing Skills","coreyhaines31/marketingskills","coreyhaines31/marketingskills","MIT","MIT","verified_open_code","github-license-api","LICENSE","https://github.com/coreyhaines31/marketingskills/blob/main/LICENSE","",""
"res_astrbot","astrbot","AstrBot","AstrBotDevs/AstrBot","AstrBotDevs/AstrBot","AGPL-3.0","AGPL-3.0","verified_open_code","github-license-api","LICENSE","https://github.com/AstrBotDevs/AstrBot/blob/master/LICENSE","",""
"res_continue","continue","Continue","continuedev/continue","continuedev/continue","Apache-2.0","Apache-2.0","verified_open_code","github-license-api","LICENSE","https://github.com/continuedev/continue/blob/main/LICENSE","",""
"res_genesis","genesis","Genesis","Genesis-Embodied-AI/genesis-world","Genesis-Embodied-AI/genesis-world","Apache-2.0","Apache-2.0","verified_open_code","github-license-api","LICENSE","https://github.com/Genesis-Embodied-AI/genesis-world/blob/main/LICENSE","",""
"res_mlflow","mlflow","MLflow","mlflow/mlflow","mlflow/mlflow","Apache-2.0","Apache-2.0","verified_open_code","github-license-api","LICENSE.txt","https://github.com/mlflow/mlflow/blob/master/LICENSE.txt","",""
"res_agentmemory","agentmemory","AgentMemory","rohitg00/agentmemory","rohitg00/agentmemory","Apache-2.0","Apache-2.0","verified_open_code","github-license-api","LICENSE","https://github.com/rohitg00/agentmemory/blob/main/LICENSE","",""
"res_fastmcp","fastmcp","FastMCP","PrefectHQ/fastmcp","PrefectHQ/fastmcp","Apache-2.0","Apache-2.0","verified_open_code","github-license-api","LICENSE","https://github.com/PrefectHQ/fastmcp/blob/main/LICENSE","",""
"res_kilo_code","kilo-code","Kilo Code","Kilo-Org/kilocode","Kilo-Org/kilocode","Apache-2.0","MIT","manual_review","github-license-api","LICENSE","https://github.com/Kilo-Org/kilocode/blob/main/LICENSE","","stored-license-mismatch"
"res_swe_agent","swe-agent","SWE-agent","SWE-agent/SWE-agent","SWE-agent/SWE-agent","MIT","MIT","verified_open_code","github-license-api","LICENSE","https://github.com/SWE-agent/SWE-agent/blob/main/LICENSE","",""
"res_notebooklm_py","notebooklm-py","notebooklm-py","teng-lin/notebooklm-py","teng-lin/notebooklm-py","MIT","MIT","verified_open_code","github-license-api","LICENSE","https://github.com/teng-lin/notebooklm-py/blob/main/LICENSE","",""
"res_garden_skills","garden-skills","Garden Skills","ConardLi/garden-skills","ConardLi/garden-skills","MIT","MIT","verified_open_code","github-license-api","LICENSE","https://github.com/ConardLi/garden-skills/blob/main/LICENSE","",""
"res_html_anything","html-anything","HTML Anything","nexu-io/html-anything","nexu-io/html-anything","Apache-2.0","Apache-2.0","verified_open_code","github-license-api","LICENSE","https://github.com/nexu-io/html-anything/blob/main/LICENSE","",""
"robotics_ros2","ros-2","ROS 2","ros2/ros2","","","","manual_review","github-license-api","","","","license-api-404|license-not-detected|missing-license-evidence-url"
"res_dograh","dograh","Dograh","dograh-hq/dograh","dograh-hq/dograh","BSD-2-Clause","BSD-2-Clause","verified_open_code","github-license-api","LICENSE","https://github.com/dograh-hq/dograh/blob/main/LICENSE","",""
"res_html_video","html-video","HTML Video","nexu-io/html-video","nexu-io/html-video","Apache-2.0","Apache-2.0","verified_open_code","github-license-api","LICENSE","https://github.com/nexu-io/html-video/blob/main/LICENSE","",""
"res_openlit","openlit","OpenLIT","openlit/openlit","openlit/openlit","Apache-2.0","Apache-2.0","verified_open_code","github-license-api","LICENSE","https://github.com/openlit/openlit/blob/main/LICENSE","",""
"res_future_agi","future-agi","Future AGI","future-agi/future-agi","future-agi/future-agi","Apache-2.0","Apache-2.0","verified_open_code","github-license-api","LICENSE","https://github.com/future-agi/future-agi/blob/main/LICENSE","",""
"res_agnix","agnix","Agnix","agent-sh/agnix","agent-sh/agnix","Apache-2.0","Apache-2.0","verified_open_code","github-license-api","LICENSE-APACHE","https://github.com/agent-sh/agnix/blob/main/LICENSE-APACHE","",""
"res_wandbot","wandbot","wandbot","wandb/wandbot","wandb/wandbot","Apache-2.0","Apache-2.0","verified_open_code","github-license-api","LICENSE","https://github.com/wandb/wandbot/blob/main/LICENSE","",""
